Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,label,Prediction,Severity
28793,1,4,69,21.44,112.11,275.94,normal,Benign,Low
997163,42,49,5110,625.55,585.85,23193.6,normal,Attack,High
15416,1,1,81,44.69,74.9,181.86,sql_injection,Benign,Low
1433750,24,27,2667,495.31,689.45,16390.5,lfi,Attack,High
1211718,23,52,2011,650.19,763.86,12215.58,sql_injection,Attack,High
23067,4,4,56,64.03,65.52,181.9,normal,Benign,Low
9026,1,3,87,15.02,99.71,209.08,normal,Benign,Low
14370,2,2,71,65.24,35.09,547.23,normal,Benign,Low
11866,3,1,147,44.0,60.87,417.26,normal,Benign,Low
1618731,24,44,3498,280.92,656.38,11591.77,xss,Attack,High
1705418,25,41,2320,479.47,838.13,13271.84,normal,Attack,High
33809,2,3,137,50.65,108.08,207.15,normal,Benign,Low
24424,3,2,169,44.06,84.16,242.47,normal,Benign,Low
1216937,27,18,5361,672.33,578.32,20171.09,sql_injection,Attack,High
1102779,45,23,2137,700.88,392.95,18893.11,lfi,Attack,High
14848,2,2,84,59.78,119.68,676.69,normal,Benign,Low
14195,4,4,101,28.94,98.51,770.3,normal,Benign,Low
18748,3,2,63,38.28,67.28,423.13,normal,Benign,Low
4588,1,4,176,43.68,42.35,385.26,normal,Benign,Low
1316402,38,28,3990,702.15,490.15,8003.98,lfi,Attack,High
26816,3,3,140,72.91,61.92,403.86,normal,Benign,Low
38703,1,2,161,42.7,103.23,469.36,normal,Benign,Low
12256,1,1,69,25.47,109.17,268.21,normal,Benign,Low
21477,2,2,134,50.45,80.04,694.07,normal,Benign,Low
30611,4,1,136,78.45,129.14,805.37,normal,Benign,Low
1198220,42,35,3601,529.86,1030.6,23435.62,normal,Attack,High
755667,42,48,4321,821.02,470.97,21132.36,sql_injection,Attack,High
1467361,39,44,3939,507.34,884.69,16611.69,lfi,Attack,High
12898,3,2,69,49.74,29.77,886.08,normal,Benign,Low
15960,1,3,133,61.53,76.44,376.43,normal,Benign,Low
13760,1,3,166,73.63,45.02,605.29,normal,Benign,Low
1132149,15,63,4402,316.87,383.15,7405.94,xss,Attack,High
4489,1,4,62,21.91,85.47,700.89,normal,Benign,Low
1752756,26,56,2362,643.53,993.8,22383.78,normal,Attack,High
1001036,41,35,3864,805.03,420.91,18138.64,lfi,Attack,High
555557,31,26,1338,307.87,1074.92,8863.02,xss,Attack,High
31007,2,4,112,49.93,90.39,584.86,normal,Benign,Low
572362,35,35,3455,338.38,598.38,23818.3,sql_injection,Attack,High
16920,2,3,167,52.08,125.92,538.37,normal,Benign,Low
642508,12,65,4638,559.76,1029.0,22742.81,sql_injection,Attack,High
32177,3,1,44,80.26,110.43,318.51,normal,Benign,Low
29593,1,1,87,73.58,85.07,618.69,normal,Benign,Low
25970,3,2,87,76.03,60.55,512.45,normal,Benign,Low
14848,3,1,110,88.88,34.7,337.75,normal,Benign,Low
18439,3,4,58,65.62,103.96,325.45,normal,Benign,Low
36778,3,3,146,25.12,126.65,286.12,xss,Benign,Low
1069147,13,36,4193,577.57,397.78,19207.68,normal,Attack,High
418236,17,62,3906,780.22,864.93,11220.48,xss,Attack,High
1766260,29,64,2579,690.79,893.27,6688.02,sql_injection,Attack,High
31158,1,3,140,40.0,91.69,870.89,normal,Benign,Low
1600148,16,63,4968,313.48,941.7,13090.84,sql_injection,Attack,High
4397,1,4,92,56.52,38.92,85.42,normal,Benign,Low
7874,2,3,121,48.74,110.11,855.42,normal,Benign,Low
421310,24,40,3840,633.81,1021.41,13460.21,xss,Attack,High
1250384,36,23,2011,318.79,464.42,18883.41,normal,Attack,High
1289634,43,54,3551,648.39,551.41,12849.69,lfi,Attack,High
4372,1,3,98,58.7,96.16,477.3,normal,Benign,Low
8235,4,2,49,53.63,124.95,445.07,normal,Benign,Low
29891,3,4,130,83.86,56.42,81.44,normal,Benign,Low
20119,4,1,152,17.21,80.29,201.19,normal,Benign,Low
1079949,41,29,1647,596.67,428.71,22865.68,lfi,Attack,High
38866,2,3,170,26.92,62.53,566.27,normal,Benign,Low
10721,3,4,169,47.11,103.91,70.51,normal,Benign,Low
20642,3,4,102,33.58,108.07,798.53,normal,Benign,Low
4033,1,2,46,72.97,83.72,649.16,normal,Benign,Low
968474,25,37,2612,693.09,444.66,14095.33,normal,Attack,High
29000,2,3,69,68.03,61.57,345.39,normal,Benign,Low
446982,15,54,5268,596.54,810.88,21517.45,xss,Attack,High
24785,1,1,51,18.68,103.93,727.98,normal,Benign,Low
18607,2,4,136,76.02,77.62,256.72,normal,Benign,Low
11762,2,3,136,43.86,86.62,835.46,normal,Benign,Low
9625,1,4,133,52.78,120.02,656.28,normal,Benign,Low
724682,16,28,3118,645.18,1093.49,8686.89,xss,Attack,High
1586025,39,35,4786,321.66,861.6,18743.75,xss,Attack,High
39439,3,4,131,58.34,86.76,126.66,normal,Benign,Low
32673,4,1,121,64.14,53.9,96.33,normal,Benign,Low
529387,21,58,4785,349.44,565.51,18707.86,xss,Attack,High
1236484,17,32,5048,257.74,686.91,24455.2,sql_injection,Attack,High
29329,4,4,132,55.42,108.81,560.42,normal,Benign,Low
1091520,42,15,1554,475.08,606.65,14410.34,normal,Attack,High
9918,2,4,70,30.34,80.78,72.28,normal,Benign,Low
27365,3,1,61,84.29,53.56,274.87,normal,Benign,Low
727150,34,35,2891,837.08,467.55,15246.9,lfi,Attack,High
16093,2,3,102,80.8,127.14,549.94,normal,Benign,Low
750520,43,32,2346,781.15,870.93,23762.64,lfi,Attack,High
27930,2,1,154,39.8,91.85,274.21,normal,Benign,Low
759527,32,54,4263,441.75,862.75,12834.99,lfi,Attack,High
25271,1,4,81,81.92,122.0,285.74,xss,Benign,Low
407205,28,22,1551,826.33,354.03,10151.56,normal,Attack,High
1099858,36,42,4498,719.1,1016.79,18875.7,sql_injection,Attack,High
35749,3,2,103,50.26,68.77,872.6,normal,Benign,Low
590914,45,27,4854,611.6,664.79,19838.42,lfi,Attack,High
839056,24,20,4453,516.77,377.09,24303.57,sql_injection,Attack,High
601840,42,16,3046,451.9,767.33,15608.08,normal,Attack,High
10896,1,3,87,41.87,30.21,596.79,normal,Benign,Low
1573023,42,38,1406,667.55,608.97,23072.04,normal,Attack,High
485352,16,34,3530,414.49,808.39,15938.64,lfi,Attack,High
24365,2,2,118,28.38,124.05,149.16,normal,Benign,Low
4184,4,1,84,32.43,41.01,639.62,normal,Benign,Low
28112,1,4,164,76.91,127.69,326.43,normal,Benign,Low
31787,2,4,120,42.46,30.34,99.92,normal,Benign,Low
28763,2,3,63,66.01,51.13,887.09,normal,Benign,Low
508688,16,45,4963,430.76,840.62,21667.89,xss,Attack,High
34882,1,4,62,83.69,98.42,220.25,normal,Benign,Low
25348,2,4,122,69.19,43.85,80.81,sql_injection,Benign,Low
4682,2,2,131,32.69,35.33,820.18,normal,Benign,Low
1779909,19,22,2470,501.01,433.43,6065.01,sql_injection,Attack,High
39321,4,1,142,24.13,98.37,364.93,normal,Benign,Low
36049,3,3,59,22.72,105.24,286.71,normal,Benign,Low
31041,3,2,100,35.16,55.67,491.32,normal,Benign,Low
26929,4,4,52,63.29,75.78,824.44,normal,Benign,Low
1358718,21,41,1589,845.61,381.39,18909.09,normal,Attack,High
8169,2,3,64,42.1,85.63,400.62,normal,Benign,Low
28390,2,1,74,55.57,42.01,600.3,normal,Benign,Low
1407309,23,62,2194,382.5,968.99,17506.45,sql_injection,Attack,High
5634,4,3,63,30.97,90.05,384.35,normal,Benign,Low
719603,44,23,4215,327.19,884.58,18881.2,lfi,Attack,High
14895,4,1,175,23.14,88.01,257.86,normal,Benign,Low
18751,1,1,165,36.38,96.45,237.89,normal,Benign,Low
984831,21,41,4647,369.12,667.58,9959.4,normal,Attack,High
26143,4,2,154,73.33,104.18,217.65,normal,Benign,Low
1233421,41,39,1937,747.71,482.01,11898.01,lfi,Attack,High
989379,41,52,2376,502.5,1023.17,6296.62,normal,Attack,High
31594,1,2,72,49.86,53.35,286.3,normal,Benign,Low
19161,2,1,50,68.93,100.27,825.31,normal,Benign,Low
18439,1,1,137,26.93,96.16,811.57,normal,Benign,Low
29490,4,1,116,68.88,102.7,318.7,normal,Benign,Low
1393656,41,21,1570,663.14,701.66,16715.92,normal,Attack,High
9964,1,4,144,20.86,87.24,427.0,normal,Benign,Low
1335814,33,45,5194,253.13,477.32,21104.14,normal,Attack,High
1049432,37,15,1729,810.53,459.11,17559.12,lfi,Attack,High
1045635,18,50,1767,595.34,370.34,23375.24,sql_injection,Attack,High
5123,4,4,64,89.77,112.81,461.69,normal,Benign,Low
561420,38,34,2979,683.17,816.05,23221.08,sql_injection,Attack,High
13788,4,2,95,57.26,126.55,450.89,normal,Benign,Low
8384,3,1,129,43.73,43.51,207.81,normal,Benign,Low
494983,16,50,1732,694.68,867.35,20184.28,lfi,Attack,High
31351,4,4,80,25.82,25.38,109.37,normal,Benign,Low
1312696,27,27,1286,447.06,402.67,7993.75,normal,Attack,High
39295,3,2,40,27.76,109.34,239.14,normal,Benign,Low
29297,1,2,72,67.17,84.1,707.9,normal,Benign,Low
23884,2,2,154,70.38,59.25,225.76,normal,Benign,Low
8882,3,2,151,79.42,65.86,298.65,normal,Benign,Low
25400,4,2,159,65.5,105.59,383.42,normal,Benign,Low
1651704,38,62,1283,341.38,1000.87,20209.97,normal,Attack,High
22501,3,3,165,56.37,61.0,467.63,normal,Benign,Low
631499,23,54,3216,380.07,843.38,13437.5,normal,Attack,High
32399,1,2,60,31.81,73.8,131.63,normal,Benign,Low
4106,2,2,76,46.38,27.08,451.79,normal,Benign,Low
33166,3,1,167,50.83,33.44,84.33,normal,Benign,Low
27404,3,4,104,64.22,108.73,268.48,normal,Benign,Low
30161,3,3,179,42.46,71.75,552.29,normal,Benign,Low
38374,1,3,180,70.32,39.77,581.2,sql_injection,Benign,Low
1406053,22,57,3472,572.41,701.14,6674.32,sql_injection,Attack,High
1523255,45,36,2563,335.66,1056.59,20305.15,lfi,Attack,High
28547,2,3,70,26.28,126.04,557.5,normal,Benign,Low
25587,1,3,85,48.53,34.98,253.95,normal,Benign,Low
28437,2,3,88,49.33,117.52,894.09,sql_injection,Benign,Low
987305,42,20,4176,252.26,419.84,13287.84,normal,Attack,High
10996,4,3,145,61.08,97.88,454.17,normal,Benign,Low
15606,2,3,163,47.41,57.86,686.28,normal,Benign,Low
1433931,42,51,4312,290.9,432.18,20859.94,sql_injection,Attack,High
24182,3,2,104,65.95,112.1,472.6,normal,Benign,Low
10438,4,2,55,65.13,60.05,840.48,normal,Benign,Low
6688,4,2,151,79.36,62.81,580.16,normal,Benign,Low
958779,15,57,1737,746.02,1096.93,19654.74,lfi,Attack,High
15615,4,1,85,24.76,45.9,259.09,normal,Benign,Low
8445,3,4,142,84.13,49.24,786.5,normal,Benign,Low
18611,1,1,41,77.8,124.88,70.65,normal,Benign,Low
21982,4,1,173,59.36,66.77,849.98,normal,Benign,Low
22356,1,4,107,80.69,34.2,826.32,normal,Benign,Low
5441,4,1,63,55.49,98.69,800.77,xss,Benign,Low
440899,37,54,2404,713.26,988.78,20409.68,xss,Attack,High
12884,4,1,149,52.23,96.04,640.06,normal,Benign,Low
21440,4,3,91,21.9,74.82,61.16,normal,Benign,Low
842364,15,58,3710,272.53,708.0,23940.34,xss,Attack,High
20137,2,2,96,60.15,26.73,253.74,normal,Benign,Low
20298,4,3,115,55.33,42.62,614.62,normal,Benign,Low
418525,31,18,3136,710.65,793.76,9527.11,sql_injection,Attack,High
794918,12,34,2700,632.32,1039.44,13171.05,sql_injection,Attack,High
35605,1,2,97,78.16,120.26,296.6,lfi,Benign,Low
17453,4,3,159,68.3,48.28,521.63,normal,Benign,Low
473191,40,39,4566,594.69,351.32,19407.23,normal,Attack,High
27415,1,1,127,37.42,69.8,891.68,normal,Benign,Low
707078,29,64,4358,780.2,652.44,19700.69,xss,Attack,High
1618859,14,19,1771,304.37,652.03,13040.57,xss,Attack,High
11035,2,2,118,64.84,114.64,790.64,normal,Benign,Low
10123,4,1,106,89.57,87.01,839.02,normal,Benign,Low
14285,3,4,55,80.27,117.65,136.05,normal,Benign,Low
7399,4,2,101,82.97,100.98,177.46,normal,Benign,Low
27215,2,4,145,85.43,59.85,210.87,normal,Benign,Low
18171,1,3,76,68.43,123.11,128.24,normal,Benign,Low
1324359,18,18,4808,265.8,672.93,7909.54,lfi,Attack,High
33489,2,1,75,77.51,70.69,316.57,normal,Benign,Low
1762517,30,60,4272,730.25,370.61,15568.58,xss,Attack,High
656379,36,46,2618,381.79,1056.6,20692.03,lfi,Attack,High
421385,13,62,2110,298.46,787.32,15535.22,lfi,Attack,High
20821,1,3,61,77.55,79.68,890.62,sql_injection,Benign,Low
17882,3,1,108,77.59,66.48,171.27,normal,Benign,Low
34785,2,3,95,25.32,111.04,841.73,normal,Benign,Low
25054,4,2,167,49.39,33.85,779.72,normal,Benign,Low
834244,14,65,3242,830.12,622.69,9161.63,sql_injection,Attack,High
454950,36,58,5258,304.86,1057.28,10415.33,sql_injection,Attack,High
1571488,40,46,5397,422.48,469.61,15670.03,lfi,Attack,High
1056549,14,28,3682,272.11,355.9,23673.17,lfi,Attack,High
1394195,43,54,1361,730.73,883.16,18458.39,xss,Attack,High
21018,4,3,112,38.68,71.93,739.66,sql_injection,Benign,Low
34899,2,3,105,62.89,107.79,885.87,normal,Benign,Low
781091,20,64,5132,735.03,482.18,19454.82,normal,Attack,High
21620,2,3,127,42.37,34.08,210.07,xss,Benign,Low
25890,4,2,117,61.35,71.27,326.33,normal,Benign,Low
1564331,27,27,3302,353.05,646.09,13942.35,sql_injection,Attack,High
28340,2,3,113,57.03,94.22,61.18,normal,Benign,Low
11412,3,2,87,41.65,98.73,331.16,normal,Benign,Low
1635145,44,48,5010,401.08,638.44,17497.19,lfi,Attack,High
1637222,40,61,4415,639.48,616.86,23985.9,sql_injection,Attack,High
34066,2,4,49,31.58,105.72,601.47,normal,Benign,Low
20926,1,3,129,48.35,89.28,821.24,normal,Benign,Low
24145,4,1,174,16.27,80.86,145.81,normal,Benign,Low
33258,3,3,104,18.2,83.49,87.57,normal,Benign,Low
20513,4,1,148,53.39,108.57,533.94,normal,Benign,Low
27454,1,4,63,15.37,63.33,256.01,normal,Benign,Low
36238,4,2,105,37.89,118.24,558.47,normal,Benign,Low
4875,3,2,69,63.84,50.71,824.03,normal,Benign,Low
36763,4,4,72,27.76,62.83,500.71,normal,Benign,Low
556431,34,29,3154,819.46,699.8,18223.07,xss,Attack,High
17389,3,4,127,69.3,58.11,220.35,normal,Benign,Low
8884,3,1,92,16.15,128.07,519.12,normal,Benign,Low
30428,3,1,136,41.58,95.33,185.06,normal,Benign,Low
22547,1,3,70,69.03,31.54,362.5,normal,Benign,Low
27342,3,4,159,18.57,107.55,768.8,normal,Benign,Low
13645,4,2,124,41.44,123.04,617.64,normal,Benign,Low
1057219,44,21,4814,784.79,1024.75,19160.22,sql_injection,Attack,High
496179,24,65,4757,535.49,764.54,21151.45,xss,Attack,High
28699,2,4,156,62.71,129.79,564.58,normal,Benign,Low
481679,18,36,3094,283.67,567.81,18548.37,lfi,Attack,High
33935,3,3,156,70.38,92.68,706.88,normal,Benign,Low
28624,1,2,144,49.33,85.16,314.15,normal,Benign,Low
1248806,16,16,2043,411.35,798.42,16546.02,xss,Attack,High
1514052,39,19,3648,466.19,715.0,6489.29,normal,Attack,High
18636,2,3,60,62.42,26.55,775.67,normal,Benign,Low
27289,4,2,101,64.81,41.61,886.55,normal,Benign,Low
27729,2,4,114,39.56,57.84,729.36,normal,Benign,Low
488129,13,45,1463,454.45,898.6,23905.48,normal,Attack,High
23188,1,4,167,66.18,89.0,242.23,normal,Benign,Low
914281,18,61,2486,400.04,933.16,17270.43,xss,Attack,High
691035,32,15,4258,623.64,400.5,15755.14,xss,Attack,High
513960,39,29,4081,327.44,869.82,13249.65,normal,Attack,High
1133233,45,50,4189,521.84,682.28,13176.67,normal,Attack,High
7142,4,1,70,24.96,74.76,314.01,normal,Benign,Low
1564041,13,53,1762,687.93,1078.27,7334.34,sql_injection,Attack,High
1351942,16,39,2480,750.62,620.3,9579.56,sql_injection,Attack,High
1185293,41,18,5283,661.72,981.71,17473.56,normal,Attack,High
32399,4,3,116,37.37,92.9,616.3,normal,Benign,Low
29865,3,1,71,37.1,67.83,169.9,normal,Benign,Low
439249,27,28,3579,343.14,848.41,19842.95,lfi,Attack,High
1701824,15,58,2794,598.56,701.87,10393.26,xss,Attack,High
1234452,22,27,2035,428.23,510.53,18247.27,sql_injection,Attack,High
24555,1,2,170,15.68,38.11,271.67,normal,Benign,Low
1357620,25,45,4502,310.32,532.01,13910.71,normal,Attack,High
4815,3,3,83,26.47,116.31,124.0,normal,Benign,Low
536411,16,43,3016,594.19,1059.31,17701.87,lfi,Attack,High
39278,2,4,166,34.32,48.16,813.07,normal,Benign,Low
39530,4,3,65,78.47,25.23,150.62,normal,Benign,Low
30335,3,1,173,48.48,105.47,326.61,normal,Benign,Low
549797,38,64,3279,625.06,419.22,13818.63,lfi,Attack,High
1525176,20,60,3862,761.45,1062.33,22371.47,sql_injection,Attack,High
36973,4,2,58,16.22,115.88,240.81,normal,Benign,Low
33402,2,4,43,40.49,72.46,96.36,xss,Benign,Low
13593,1,3,137,85.65,92.04,705.75,normal,Benign,Low
1650785,39,33,1651,422.83,828.75,23689.39,xss,Attack,High
38791,3,3,86,53.81,33.59,447.74,normal,Benign,Low
7030,4,3,118,88.65,77.94,748.97,normal,Benign,Low
27310,2,1,58,56.69,71.25,214.05,normal,Benign,Low
20359,1,3,56,64.55,86.65,443.63,normal,Benign,Low
23930,1,1,173,69.78,26.37,848.57,normal,Benign,Low
23433,3,2,55,16.8,54.69,680.57,normal,Benign,Low
22867,3,3,100,27.54,67.35,553.04,normal,Benign,Low
36196,3,3,157,32.59,66.04,450.4,normal,Benign,Low
39389,2,2,77,26.43,59.67,798.28,normal,Benign,Low
19937,4,4,157,29.97,27.56,185.47,normal,Benign,Low
32924,4,4,66,66.47,106.75,201.65,normal,Benign,Low
1084076,40,60,1941,367.46,988.1,9789.49,lfi,Attack,High
1211049,13,24,3443,410.36,575.18,14494.12,normal,Attack,High
627021,41,30,3431,834.47,737.31,24706.08,normal,Attack,High
35419,3,1,52,19.02,30.74,538.91,normal,Benign,Low
39556,3,3,43,17.63,104.91,571.11,normal,Benign,Low
35800,1,3,148,63.16,112.47,565.92,normal,Benign,Low
23263,3,4,45,85.2,106.96,171.17,sql_injection,Benign,Low
744478,17,37,2551,351.72,856.49,11376.74,lfi,Attack,High
1455479,15,34,4882,519.13,496.67,8070.43,normal,Attack,High
1228274,40,47,5225,259.71,754.72,21837.69,lfi,Attack,High
35030,4,3,100,30.5,62.01,120.95,normal,Benign,Low
17681,1,2,93,22.48,59.09,350.71,xss,Benign,Low
494483,36,24,4160,321.4,490.1,24179.3,normal,Attack,High
32498,2,4,48,65.14,121.96,539.77,normal,Benign,Low
853418,14,62,4522,281.7,1021.75,16521.92,normal,Attack,High
32513,3,3,168,33.11,94.16,76.35,normal,Benign,Low
13470,3,2,76,39.35,85.95,897.79,normal,Benign,Low
21777,2,2,77,81.14,45.86,795.04,normal,Benign,Low
1149070,37,43,2558,757.73,619.72,8665.92,xss,Attack,High
18100,1,1,176,80.31,71.2,353.59,normal,Benign,Low
817244,19,19,1698,325.1,776.61,9390.39,sql_injection,Attack,High
27439,1,1,170,39.94,128.33,888.89,normal,Benign,Low
27633,2,3,63,83.42,103.35,673.69,normal,Benign,Low
665857,15,61,1707,798.23,794.17,21996.8,xss,Attack,High
1436701,37,48,2779,768.18,359.2,24927.35,sql_injection,Attack,High
1653567,24,36,3243,779.82,388.85,13855.01,sql_injection,Attack,High
6630,2,1,157,31.91,70.88,217.03,normal,Benign,Low
5078,3,2,83,67.46,90.84,585.37,normal,Benign,Low
6866,4,4,155,88.48,62.0,128.29,normal,Benign,Low
27613,1,1,135,26.73,75.29,434.72,normal,Benign,Low
35947,4,3,116,66.99,66.91,115.36,normal,Benign,Low
13784,2,2,126,88.59,98.14,402.21,normal,Benign,Low
520773,18,58,4122,397.81,420.7,19214.67,xss,Attack,High
38940,2,2,150,36.14,94.49,263.78,normal,Benign,Low
485318,36,47,5446,738.42,780.31,14676.22,sql_injection,Attack,High
14987,2,3,59,81.49,95.71,719.36,normal,Benign,Low
35410,4,3,150,46.58,98.0,792.41,normal,Benign,Low
15753,4,3,42,48.17,88.3,146.95,normal,Benign,Low
39566,3,1,123,38.51,96.21,838.52,lfi,Benign,Low
8033,3,1,121,74.36,66.1,567.42,normal,Benign,Low
20816,2,4,74,22.36,120.84,286.08,xss,Benign,Low
23989,4,2,100,64.31,104.58,810.64,normal,Benign,Low
